"filename", "language", "JSON", "C++", "YAML", "Dart", "Markdown", "Groovy", "Properties", "XML", "Swift", "HTML", "comment", "blank", "total"
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/utils/common_style.dart", "Dart", 0, 0, 0, -13, 0, 0, 0, 0, 0, 0, 0, -5, -18
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/utils/common_widget.dart", "Dart", 0, 0, 0, -38, 0, 0, 0, 0, 0, 0, 0, -2, -40
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/utils/custom_errmsg.dart", "Dart", 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, -3, -14
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/utils/custom_style.dart", "Dart", 0, 0, 0, -87, 0, 0, 0, 0, 0, 0, -6, -16, -109
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/utils/display_style.dart", "Dart", 0, 0, 0, -157, 0, 0, 0, 0, 0, 0, -12, -4, -173
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/utils/master_slave_info.dart", "Dart", 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, -10, -8, -78
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/utils/message_localization.dart", "Dart", 0, 0, 0, -92, 0, 0, 0, 0, 0, 0, 0, -3, -95
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/utils/request_interval.dart", "Dart", 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, -1, -2, -13
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/utils/storage_permission.dart", "Dart", 0, 0, 0, -24, 0, 0, 0, 0, 0, 0, -10, -2, -36
"/Users/henry.liang/projects_git/20230307/ricoms_app/linux/flutter/generated_plugin_registrant.cc", "C++", 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, -4, -5, -16
"/Users/henry.liang/projects_git/20230307/ricoms_app/linux/flutter/generated_plugin_registrant.h", "C++", 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, -5, -6, -16
"/Users/henry.liang/projects_git/20230307/ricoms_app/linux/main.cc", "C++", 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -7
"/Users/henry.liang/projects_git/20230307/ricoms_app/linux/my_application.cc", "C++", 0, -74, 0, 0, 0, 0, 0, 0, 0, 0, -11, -20, -105
"/Users/henry.liang/projects_git/20230307/ricoms_app/linux/my_application.h", "C++", 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, -7, -5, -19
"/Users/henry.liang/projects_git/20230307/ricoms_app/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, -3, -4, -23
"/Users/henry.liang/projects_git/20230307/ricoms_app/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, -2, -10
"/Users/henry.liang/projects_git/20230307/ricoms_app/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", -68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -69
"/Users/henry.liang/projects_git/20230307/ricoms_app/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, -343, 0, 0, 0, -1, -344
"/Users/henry.liang/projects_git/20230307/ricoms_app/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, -4, -16
"/Users/henry.liang/projects_git/20230307/ricoms_app/pubspec.yaml", "YAML", 0, 0, -55, 0, 0, 0, 0, 0, 0, 0, -60, -14, -129
"/Users/henry.liang/projects_git/20230307/ricoms_app/test/authentication/authentication_bloc_test.dart", "Dart", 0, 0, 0, -121, 0, 0, 0, 0, 0, 0, 0, -13, -134
"/Users/henry.liang/projects_git/20230307/ricoms_app/test/widget_test.dart", "Dart", 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, -10, -7, -31
"/Users/henry.liang/projects_git/20230307/ricoms_app/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -80, -18, -7, -105
"/Users/henry.liang/projects_git/20230307/ricoms_app/web/manifest.json", "JSON", -35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -36
